Region,country,article_name,rev_id,article_quality,population
ASIA,Cambodia,Pao Ham Phan,799453681.0,Stub,16.0
ASIA,Cambodia,Heng Samrin,799719505.0,Start,16.0
ASIA,Cambodia,Kang Kek Iew,799772448.0,C,16.0
ASIA,Cambodia,Leng Ngeth,800087187.0,Stub,16.0
ASIA,Cambodia,Spouse of the Prime Minister of Cambodia,800348414.0,Stub,16.0
ASIA,Cambodia,Nhiek Tioulong,801079233.0,Start,16.0
ASIA,Cambodia,Keo Puth Rasmey,801523347.0,Stub,16.0
ASIA,Cambodia,Khem Veasna,802456666.0,C,16.0
ASIA,Cambodia,Tea Banh,802643748.0,Start,16.0
ASIA,Cambodia,Ieng Sary,802839704.0,C,16.0
ASIA,Cambodia,Son Ngoc Minh,803084525.0,Start,16.0
ASIA,Cambodia,List of monarchs of Cambodia,803230439.0,C,16.0
ASIA,Cambodia,Ran Serey Leakhena,803481048.0,Stub,16.0
ASIA,Cambodia,Lon Non,803936929.0,C,16.0
ASIA,Cambodia,Lon Nil,803936986.0,Start,16.0
ASIA,Cambodia,Mu Sochua,804631223.0,C,16.0
ASIA,Cambodia,Penn Nouth,804717865.0,Start,16.0
ASIA,Cambodia,Hang Chuon Naron,804785628.0,Start,16.0
ASIA,Cambodia,Hong Sun Huot,805459200.0,Stub,16.0
ASIA,Cambodia,Sam Rainsy,805740662.0,C,16.0
ASIA,Cambodia,Nuon Chea,805876135.0,GA,16.0
ASIA,Cambodia,Kao Kim Hourn,805905770.0,B,16.0
ASIA,Cambodia,Ieng Thirith,806833311.0,C,16.0
ASIA,Cambodia,Chau Sen Cocsal Chhum,806931313.0,C,16.0
ASIA,Cambodia,Sar Kheng,806997998.0,C,16.0
ASIA,Cambodia,Aun Pornmoniroth,807003284.0,Start,16.0
ASIA,Cambodia,Lon Nol,807025761.0,GA,16.0
NORTHERN AMERICA,Canada,Robert Douglas Cook,401577829.0,Stub,37.2
NORTHERN AMERICA,Canada,List of Canadian incumbents by year,477962574.0,Stub,37.2
NORTHERN AMERICA,Canada,List of 2009 Canadian incumbents,632008524.0,Start,37.2
NORTHERN AMERICA,Canada,Rossy Barbour,653527941.0,Stub,37.2
NORTHERN AMERICA,Canada,Les Scheininger,667821864.0,C,37.2
NORTHERN AMERICA,Canada,Patrick Canning,667873261.0,Start,37.2
NORTHERN AMERICA,Canada,Gerald Hill (politician),670917017.0,Stub,37.2
NORTHERN AMERICA,Canada,John R. O'Dea,670971940.0,Stub,37.2
NORTHERN AMERICA,Canada,Samuel J. Hefferton,671122320.0,Start,37.2
NORTHERN AMERICA,Canada,Alexander Dunphy,676610041.0,Stub,37.2
NORTHERN AMERICA,Canada,Gordon Dawe,676612108.0,Stub,37.2
NORTHERN AMERICA,Canada,Paul Thoms,676732644.0,Stub,37.2
NORTHERN AMERICA,Canada,Frederick B. Rowe,676734572.0,Stub,37.2
NORTHERN AMERICA,Canada,Allan Evans (politician),676782180.0,Stub,37.2
NORTHERN AMERICA,Canada,Luke Woodrow,676947124.0,Stub,37.2
NORTHERN AMERICA,Canada,William G. Patterson,677094551.0,Stub,37.2
NORTHERN AMERICA,Canada,Freeman White (politician),677724847.0,Stub,37.2
NORTHERN AMERICA,Canada,William J. MacNeil,677769770.0,Stub,37.2
NORTHERN AMERICA,Canada,John Collins (Canadian politician),679623758.0,Stub,37.2
NORTHERN AMERICA,Canada,Barry Hynes,680618797.0,Stub,37.2
NORTHERN AMERICA,Canada,Brendan Howard,684050793.0,Stub,37.2
NORTHERN AMERICA,Canada,Wilson Callan,684903534.0,Stub,37.2
NORTHERN AMERICA,Canada,Rod Moores,684903869.0,Stub,37.2
NORTHERN AMERICA,Canada,List of 2010 Canadian incumbents,688697227.0,Start,37.2
NORTHERN AMERICA,Canada,Harold Collins (Canadian politician),690205437.0,Stub,37.2
NORTHERN AMERICA,Canada,Speaker of the Legislative Assembly of the Province of Canada,691747234.0,Stub,37.2
NORTHERN AMERICA,Canada,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",698077739.0,Stub,37.2
NORTHERN AMERICA,Canada,David John Rankin,703226576.0,Stub,37.2
NORTHERN AMERICA,Canada,Robert Melville Smith,704136762.0,Stub,37.2
NORTHERN AMERICA,Canada,Myra Freeman,704516768.0,Start,37.2
NORTHERN AMERICA,Canada,Evelyn Shannon,705247791.0,Stub,37.2
NORTHERN AMERICA,Canada,George Little (Manitoba politician),705386024.0,Stub,37.2
NORTHERN AMERICA,Canada,Michael Rojeski,705436088.0,Stub,37.2
NORTHERN AMERICA,Canada,Gudmundur Fjelsted,705539849.0,Stub,37.2
NORTHERN AMERICA,Canada,Samuel Fletcher,705547266.0,Stub,37.2
NORTHERN AMERICA,Canada,John Crane (Canadian politician),706430270.0,Stub,37.2
NORTHERN AMERICA,Canada,Milton Peach,706597779.0,Stub,37.2
NORTHERN AMERICA,Canada,Claude Sheppard,706758502.0,Stub,37.2
NORTHERN AMERICA,Canada,Don Hollett,706934829.0,Stub,37.2
NORTHERN AMERICA,Canada,Art Reid,706942745.0,Stub,37.2
NORTHERN AMERICA,Canada,David Secord,707172907.0,Stub,37.2
NORTHERN AMERICA,Canada,Wally Firth,707297623.0,Stub,37.2
NORTHERN AMERICA,Canada,William R. Smallwood,707632311.0,Stub,37.2
NORTHERN AMERICA,Canada,C. Maxwell Lane,707684781.0,Stub,37.2
NORTHERN AMERICA,Canada,Charles Poulin,708179175.0,Stub,37.2
NORTHERN AMERICA,Canada,Pierre-Luc Paquette,708813010.0,Stub,37.2
NORTHERN AMERICA,Canada,Francis Badgley (merchant),708885126.0,Stub,37.2
NORTHERN AMERICA,Canada,Michel Sikyea,708967094.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2003 Canadian incumbents,709329316.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2004 Canadian incumbents,709329425.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2002 Canadian incumbents,709407679.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2001 Canadian incumbents,709407789.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2000 Canadian incumbents,709408821.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1999 Canadian incumbents,709408830.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1998 Canadian incumbents,709408965.0,Start,37.2
NORTHERN AMERICA,Canada,Sonnee Cohen,709455764.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1997 Canadian incumbents,709491780.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1996 Canadian incumbents,709492005.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1995 Canadian incumbents,709492007.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1994 Canadian incumbents,709492025.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1992 Canadian incumbents,709492105.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1991 Canadian incumbents,709492467.0,Start,37.2
NORTHERN AMERICA,Canada,List of 1990 Canadian incumbents,709492558.0,Start,37.2
NORTHERN AMERICA,Canada,List of 2005 Canadian incumbents,709519440.0,Start,37.2
NORTHERN AMERICA,Canada,Cyril Keeper,710575028.0,C,37.2
NORTHERN AMERICA,Canada,Adam Aptowitzer,710619647.0,Stub,37.2
NORTHERN AMERICA,Canada,Yvon Picotte,710753764.0,Start,37.2
NORTHERN AMERICA,Canada,James Atebe,711104781.0,Stub,37.2
NORTHERN AMERICA,Canada,List of 2007 Canadian incumbents,711603471.0,Start,37.2
NORTHERN AMERICA,Canada,Thomas Barnaby,712417981.0,Stub,37.2
NORTHERN AMERICA,Canada,Mark Evaloarjuk,712579431.0,Start,37.2
NORTHERN AMERICA,Canada,Jacques Bizard,712601441.0,Stub,37.2
NORTHERN AMERICA,Canada,Lawrence Martin (musician),712973728.0,C,37.2
NORTHERN AMERICA,Canada,Denis Viger,713249389.0,Stub,37.2
NORTHERN AMERICA,Canada,Aidan Maloney,713981300.0,Stub,37.2
NORTHERN AMERICA,Canada,Grafton Njootli,714172218.0,Stub,37.2
NORTHERN AMERICA,Canada,William Albert Boucher,714722019.0,Start,37.2
NORTHERN AMERICA,Canada,Marvin Gelber,715055224.0,Stub,37.2
NORTHERN AMERICA,Canada,Robert Robertson (politician),715359989.0,Stub,37.2
NORTHERN AMERICA,Canada,James H. Stuart,715457941.0,Stub,37.2
NORTHERN AMERICA,Canada,Maxime Lépine,716489196.0,Stub,37.2
NORTHERN AMERICA,Canada,Ambroise-Dydime Lépine,716690197.0,Stub,37.2
NORTHERN AMERICA,Canada,W. Garfield Case,716908156.0,C,37.2
